epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,781.112,1.94161,2.10911,1.55796,0.00406,0.77303,0.57883,0.52452,0.52525,0.28693,0.47254,0.39856,0.40391,0.17066,1.9363,2.12463,1.43799,0.00502,0,0.000747192,0.000747192,0.000747192
68,796.998,1.90212,1.98994,1.51833,0.00417,0.71427,0.54972,0.48167,0.51811,0.26375,0.41662,0.37831,0.38307,0.15728,1.92302,2.09406,1.47229,0.00525,0,0.000734438,0.000734438,0.000734438
69,814.745,1.85758,1.96603,1.42492,0.00407,0.72304,0.59011,0.49259,0.51176,0.26597,0.50858,0.41212,0.40095,0.17183,1.8969,2.15933,1.50454,0.005,0,0.000721639,0.000721639,0.000721639
70,832.546,1.79049,1.93355,1.48736,0.00438,0.77114,0.57947,0.4847,0.5056,0.27052,0.45763,0.38978,0.37938,0.16007,1.91679,2.23661,1.43083,0.00509,0,0.0007088,0.0007088,0.0007088
71,850.821,1.82848,1.97651,1.47283,0.00414,0.75793,0.50508,0.52219,0.50711,0.28172,0.45031,0.46005,0.41345,0.1821,1.94794,2.17208,1.43217,0.00516,0,0.000695927,0.000695927,0.000695927
72,863.792,1.85995,1.99658,1.51794,0.00423,0.7497,0.48631,0.51044,0.49882,0.25766,0.40645,0.42008,0.37628,0.16712,2.00105,2.16606,1.43948,0.0054,0,0.000683026,0.000683026,0.000683026
73,874.918,1.86848,1.95327,1.48271,0.00448,0.84877,0.49536,0.49898,0.48062,0.25747,0.57173,0.35242,0.39709,0.17804,1.9968,2.06846,1.42388,0.00523,0,0.000670102,0.000670102,0.000670102
74,886.071,1.87321,2.12796,1.49483,0.00459,0.74683,0.54551,0.48457,0.49138,0.28111,0.49058,0.35824,0.37801,0.17411,1.9172,2.14337,1.38896,0.00508,0,0.000657161,0.000657161,0.000657161
75,897.287,1.90753,2.00661,1.49585,0.00471,0.75901,0.59848,0.50035,0.5142,0.26869,0.4396,0.43098,0.40652,0.18876,1.98348,2.07932,1.42901,0.00547,0,0.000644208,0.000644208,0.000644208
76,907.723,1.84346,2.07985,1.53052,0.00443,0.76456,0.52664,0.49603,0.51344,0.27122,0.57432,0.3418,0.39959,0.18436,1.96767,2.0837,1.43404,0.00527,0,0.00063125,0.00063125,0.00063125
77,917.956,1.84187,1.91627,1.46137,0.00433,0.70805,0.57992,0.45026,0.48872,0.26735,0.38669,0.42462,0.38796,0.1818,1.93749,2.06814,1.42918,0.00523,0,0.000618292,0.000618292,0.000618292
78,931.073,1.87012,1.98212,1.49935,0.00481,0.74899,0.49863,0.47257,0.48445,0.26512,0.36278,0.46827,0.37644,0.17537,1.92884,2.03578,1.43161,0.00498,0,0.000605339,0.000605339,0.000605339
79,942.201,1.78094,1.85134,1.33902,0.00409,0.67363,0.54859,0.51086,0.52702,0.28873,0.43645,0.44306,0.39568,0.17487,1.94735,2.03295,1.36534,0.00516,0,0.000592398,0.000592398,0.000592398
80,957.527,1.82146,2.03121,1.43465,0.00417,0.69597,0.509,0.51539,0.50052,0.26998,0.3995,0.45762,0.39367,0.17499,1.94472,2.11316,1.37785,0.00519,0,0.000579474,0.000579474,0.000579474
81,975.826,1.81352,1.94463,1.40734,0.00414,0.67952,0.63677,0.51988,0.53329,0.27982,0.50584,0.41017,0.4053,0.17711,1.92948,1.99856,1.42289,0.00499,0,0.000566573,0.000566573,0.000566573
82,993.648,1.82678,1.95984,1.42189,0.00405,0.664,0.62213,0.4967,0.53419,0.28605,0.40409,0.49892,0.42428,0.18635,1.93733,1.94355,1.35044,0.00504,0,0.0005537,0.0005537,0.0005537
83,1011.43,1.84521,1.96755,1.40311,0.00421,0.7191,0.59423,0.52475,0.53277,0.28978,0.47346,0.48094,0.45429,0.20958,1.90966,2.12217,1.34918,0.00489,0,0.000540861,0.000540861,0.000540861
84,1029.4,1.82044,2.00077,1.3992,0.00421,0.74171,0.53848,0.5546,0.53089,0.28483,0.46114,0.45236,0.42853,0.18936,1.95303,1.9934,1.35642,0.00502,0,0.000528062,0.000528062,0.000528062
85,1046.67,1.77946,1.93408,1.37717,0.00423,0.6509,0.66557,0.53994,0.55591,0.28396,0.55993,0.43366,0.43252,0.2062,1.93308,1.93879,1.33583,0.00502,0,0.000515308,0.000515308,0.000515308
86,1065.24,1.74588,1.99611,1.36992,0.00425,0.6569,0.59627,0.54001,0.55478,0.30886,0.53151,0.36715,0.40983,0.19084,1.89412,2.02313,1.35637,0.00495,0,0.000502605,0.000502605,0.000502605
87,1084.06,1.77626,2.00383,1.40713,0.00411,0.72552,0.55461,0.54931,0.54085,0.30402,0.47356,0.46771,0.43924,0.21153,1.88438,1.95928,1.38998,0.00497,0,0.000489958,0.000489958,0.000489958
88,1101.93,1.81903,2.04706,1.40894,0.00393,0.69191,0.55872,0.56038,0.54006,0.3057,0.47011,0.48058,0.4438,0.22252,1.88642,1.94941,1.37366,0.005,0,0.000477373,0.000477373,0.000477373
89,1120.01,1.76396,1.95195,1.3492,0.00381,0.65254,0.57183,0.5366,0.54585,0.28742,0.51533,0.39538,0.41303,0.18622,1.92625,1.94533,1.37688,0.00509,0,0.000464856,0.000464856,0.000464856
90,1137.75,1.83332,1.9463,1.35806,0.00396,0.73054,0.55916,0.5375,0.52554,0.28788,0.50131,0.45175,0.43811,0.20543,1.8919,1.90936,1.35185,0.00497,0,0.000452412,0.000452412,0.000452412
91,1155.61,1.83254,1.95508,1.37434,0.00421,0.64034,0.51382,0.53494,0.51205,0.29469,0.42802,0.46432,0.42176,0.18237,1.87473,1.94945,1.33675,0.00484,0,0.000440046,0.000440046,0.000440046
92,1173.87,1.80722,1.90747,1.35784,0.00414,0.62687,0.62568,0.51423,0.54543,0.29776,0.52418,0.41948,0.45677,0.2143,1.8768,1.95123,1.34368,0.00478,0,0.000427764,0.000427764,0.000427764
93,1191.5,1.76692,1.91273,1.33621,0.00416,0.6783,0.58648,0.54806,0.54382,0.29761,0.47029,0.47097,0.44334,0.19828,1.9128,1.91409,1.31096,0.00492,0,0.000415571,0.000415571,0.000415571
94,1210.03,1.7998,1.92441,1.36145,0.00446,0.69464,0.55516,0.57025,0.55135,0.29617,0.39915,0.47679,0.41905,0.18175,1.91011,1.90405,1.30397,0.00488,0,0.000403473,0.000403473,0.000403473
95,1227.01,1.8123,1.97373,1.37031,0.00404,0.64019,0.56942,0.52769,0.55389,0.30723,0.52505,0.38527,0.40465,0.16937,1.91001,1.93127,1.32745,0.00519,0,0.000391475,0.000391475,0.000391475
96,1238.64,1.72077,1.86995,1.29967,0.00396,0.67021,0.62841,0.49863,0.55442,0.30398,0.60353,0.39284,0.46073,0.20473,1.90475,1.84358,1.34579,0.00508,0,0.000379582,0.000379582,0.000379582
97,1248.79,1.80992,1.98143,1.34057,0.00394,0.65111,0.57355,0.54909,0.55968,0.30697,0.56469,0.41611,0.45586,0.19534,1.86574,1.87947,1.31639,0.00499,0,0.000367799,0.000367799,0.000367799
